ccid,poplar price,profit,alfalfa,barley,dry beans,corn,cotton,grass hay,melons,oats and corn,oats,rice,rye,safflower,tomato,triticale,wheat,wheat and corn,poplar
488,42,0,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,42.1,1,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,42.2,2,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,42.3,3,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,42.4,4,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,42.5,5,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,42.6,6,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,42.7,7,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,42.8,8,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,42.9,9,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,43,10,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,43.1,11,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,43.2,12,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,43.3,13,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,43.4,14,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,43.5,15,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,43.6,16,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,43.7,17,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,43.8,18,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,43.9,19,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,44,20,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,44.1,21,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,44.2,22,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,44.3,23,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,44.4,24,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,44.5,25,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,44.6,26,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,44.7,27,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,44.8,28,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,44.9,29,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,45,30,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,45.1,31,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,45.2,32,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,45.3,33,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,45.4,34,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,45.5,35,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,45.6,36,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,45.7,37,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,45.8,38,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,45.9,39,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,46.0,40,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,46.1,41,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,46.2,42,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,46.3,43,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
488,46.4,44,705.271432441184,,,,,884.387809344201,,,,,,,,,299.5546505755,,0
489,42,0,5068.33455607262,1182.98653803912,,1367.36639100895,,4828.15351712789,,,1542.31069877358,1329.82074070975,,,,,2898.98419691808,,0
489,42.1,1,5068.33455607262,1182.98653803912,,1367.36639100895,,4828.15351712789,,,1542.31069877358,1329.82074070975,,,,,2898.98419691808,,0
489,42.2,2,5068.33455607262,1182.98653803912,,1367.36639100895,,4828.15351712789,,,1542.31069877358,1329.82074070975,,,,,2898.98419691808,,0
489,42.3,3,5068.33455607262,1182.98653803912,,1367.36639100895,,4828.15351712789,,,1542.31069877358,1329.82074070975,,,,,2898.98419691808,,0
489,42.4,4,5068.33455607262,1182.98653803912,,1367.36639100895,,4828.15351712789,,,1542.31069877358,1329.82074070975,,,,,2898.98419691808,,0
489,42.5,5,5068.33455607262,1182.98653803912,,1367.36639100895,,4828.15351712789,,,1542.31069877358,1329.82074070975,,,,,2898.98419691808,,0
489,42.6,6.01,5068.33455607262,1182.98653803912,,1367.36639100895,,4828.15351712789,,,1542.31069877358,1329.82074070975,,,,,2898.98419691808,,0
489,42.7,7.01,5068.33455607262,1182.98653803912,,1367.36639100895,,4828.15351712789,,,1542.31069877358,1329.82074070975,,,,,2898.98419691808,,0
489,42.8,8.01,5068.33455607262,1182.98653803912,,1367.36639100895,,4828.15351712789,,,1542.31069877358,1329.82074070975,,,,,2898.98419691808,,0
489,42.9,9.01,5068.33455607262,1182.98653803912,,1367.36639100895,,4828.15351712789,,,1542.31069877358,1329.82074070975,,,,,2898.98419691808,,0
489,43,10.0,5068.33455607262,1182.98653803912,,1367.36639100895,,4828.15351712789,,,1542.31069877358,1329.82074070975,,,,,2898.98419691808,,0
489,43.1,11,5068.33455607262,1182.98653803912,,1367.36639100895,,4828.15351712789,,,1542.31069877358,1329.82074070975,,,,,2898.98419691808,,0
489,43.2,12,5068.33455607262,1182.98653803912,,1367.36639100895,,4828.15351712789,,,1542.31069877358,1329.82074070975,,,,,2898.98419691808,,0
489,43.3,13,5068.33455607262,1182.98653803912,,1367.36639100895,,4828.15351712789,,,1542.31069877358,1329.82074070975,,,,,2898.98419691808,,0
489,43.4,14,5068.33455607262,1182.98653803912,,1367.36639100895,,4828.15351712789,,,1542.31069877358,1329.82074070975,,,,,2898.98419691808,,0
489,43.5,15,5068.33455607262,1182.98653803912,,1367.36639100895,,4828.15351712789,,,1542.31069877358,1329.82074070975,,,,,2898.98419691808,,0
489,43.6,16,5068.33455607262,1182.98653803912,,1367.36639100895,,4828.15351712789,,,1542.31069877358,1329.82074070975,,,,,2898.98419691808,,0
489,43.7,17,5068.33455607262,1182.98653803912,,1367.36639100895,,4828.15351712789,,,1542.31069877358,1329.82074070975,,,,,2898.98419691808,,0
489,43.8,18,5068.33455607262,1182.98653803912,,1367.36639100895,,4828.15351712789,,,1542.31069877358,1329.82074070975,,,,,2898.98419691808,,0
489,43.9,19,5068.33455607262,1182.98653803912,,1367.36639100895,,4828.15351712789,,,1542.31069877358,1329.82074070975,,,,,2898.98419691808,,0
489,44,20,5068.33455607262,1182.98653803912,,1367.36639100895,,4828.15351712789,,,1542.31069877358,1329.82074070975,,,,,2898.98419691808,,0
489,44.1,21,5068.33455607262,1182.98653803912,,1367.36639100895,,4828.15351712789,,,1542.31069877358,1329.82074070975,,,,,2898.98419691808,,0
489,44.2,22,5068.33455607262,1182.98653803912,,1367.36639100895,,4828.15351712789,,,1542.31069877358,1329.82074070975,,,,,2898.98419691808,,0
489,44.3,23,5068.33455607262,1182.98653803912,,1367.36639100895,,4828.15351712789,,,1542.31069877358,1329.82074070975,,,,,2898.98419691808,,0
489,44.4,24,5068.33455607262,1182.98653803912,,1367.36639100895,,4828.15351712789,,,1542.31069877358,1329.82074070975,,,,,2898.98419691808,,0
489,44.5,25,5067.25057403314,,,1364.90033975425,,4825.09841825401,,,1541.28043949205,1328.85543573978,,,,,2898.06403863213,,607.200745328125
489,44.6,26,5051.13362846118,,,1328.23440581613,,4779.67436095971,,,1525.96225878366,1314.50301374863,,,,,2884.38287005903,,840.743859067918
489,44.7,27,5035.01668288922,,,1291.56847187801,,4734.2503036654,,,1510.64407807527,1300.15059175749,,,,,2870.70170148594,,1074.28697280773
489,44.8,28,5018.8997373173,,,1254.9025379399,,4688.82624637106,,,1495.32589736688,1285.79816976628,,,,,2857.02053291285,,1307.83008654775
489,44.9,29,5002.7827917453,,,1218.23660400176,,4643.4021890768,,,1480.00771665849,1271.44574777521,,,,,2843.33936433975,,1541.3732002873
489,45,30,4986.66584617335,,,1181.57067006365,,4597.97813178249,,,1464.6895359501,1257.09332578405,,,,,2829.65819576666,,1774.91631402713
489,45.1,31,4970.54890060142,,,1144.90473612553,,4552.55407448817,,,1449.37135524171,1242.74090379289,,,,,2815.97702719358,,2008.45942776695
489,45.2,32,4960.60887670946,,,1117.86362482462,,4520.55124731026,,,1422.72118457862,1236.17468284908,,,,,2789.92578278494,,2173.95488096515
489,45.3,33,4954.87144798069,,,1097.3709587132,,4497.67982889752,,,1388.36106248022,1234.90596324266,,,,,2755.45830395285,,2293.15271475499
489,45.4,34,4949.13401925192,,,1076.87829260178,,4474.80841048478,,,1354.00094038183,1233.63724363624,,,,,2720.99082512077,,2412.35054854482
489,45.5,35,4943.39659052315,,,1056.38562649036,,4451.93699207204,,,1319.64081828344,1232.36852402981,,,,,2686.52334628868,,2531.54838233465
489,45.6,36,4937.65916179437,,,1035.89296037895,,4429.0655736593,,,1285.28069618504,1231.09980442339,,,,,2652.0558674566,,2650.74621612448
489,45.7,37,4931.9217330656,,,1015.40029426753,,4406.19415524656,,,1250.92057408665,1229.83108481697,,,,,2617.58838862451,,2769.94404991432
489,45.8,38,4926.18430433683,,,994.90762815611,,4383.32273683382,,,1216.56045198825,1228.56236521054,,,,,2583.12090979242,,2889.14188370415
489,45.9,39,4920.44687560806,,,974.414962044693,,4360.45131842108,,,1182.20032988986,1227.29364560412,,,,,2548.65343096034,,3008.33971749399
