,AlfalfaHay431,Barley431,GrassHay431,Oats431,Potatoes431,SpringWheat431,WinterWheat431,AlfalfaHay426,GrassHay426,POP PRICE,POPLAR0,TOTALAC,POPSHARE,POPPROF
1,60883.2818037449,9329.11906854335,21479.4686174198,2745.8186281144,5073.68113022811,4518.44848058888,1131.31578192974,13410.4450438918,5795.71482310428,62,,124367.293377565,,
2,60883.2818037449,9329.11906854335,21479.4686174198,2745.8186281144,5073.68113022811,4518.44848058888,1131.31578192974,13410.4450438918,5795.71482310428,62.1,,124367.293377565,,1
3,60883.2818037449,9329.11906854335,21479.4686174198,2745.8186281144,5073.68113022811,4518.44848058888,1131.31578192974,13410.4450438918,5795.71482310428,62.2,,124367.293377565,,2
4,60883.2818037449,9329.11906854335,21479.4686174198,2745.8186281144,5073.68113022811,4518.44848058888,1131.31578192974,13410.4450438918,5795.71482310428,62.3,,124367.293377565,,3
5,60883.2818037449,9329.11906854335,21479.4686174198,2745.8186281144,5073.68113022811,4518.44848058888,1131.31578192974,13410.4450438918,5795.71482310428,62.4,,124367.293377565,,4
6,60883.2818037449,9329.11906854335,21479.4686174198,2745.8186281144,5073.68113022811,4518.44848058888,1131.31578192974,13410.4450438918,5795.71482310428,62.5,,124367.293377565,,5.00000000000011
7,60883.2818037449,9329.11906854335,21479.4686174198,2745.8186281144,5073.68113022811,4518.44848058888,1131.31578192974,13410.4450438918,5795.71482310428,62.6,,124367.293377565,,6.00000000000011
8,60883.2818037449,9329.11906854335,21479.4686174198,2745.8186281144,5073.68113022811,4518.44848058888,1131.31578192974,13410.4450438918,5795.71482310428,62.7,,124367.293377565,,7.00000000000011
9,60883.2818037449,9329.11906854335,21479.4686174198,2745.8186281144,5073.68113022811,4518.44848058888,1131.31578192974,13410.4450438918,5795.71482310428,62.8,,124367.293377565,,8.00000000000011
10,60883.2818037449,9329.11906854335,21479.4686174198,2745.8186281144,5073.68113022811,4518.44848058888,1131.31578192974,13410.4450438918,5795.71482310428,62.9,,124367.293377565,,9.00000000000011
11,60883.2818037449,9329.11906854335,21479.4686174198,2745.8186281144,5073.68113022811,4518.44848058888,1131.31578192974,13410.4450438918,5795.71482310428,63,,124367.293377565,,10.0000000000001
12,60883.2818037449,9329.11906854335,21479.4686174198,2745.8186281144,5073.68113022811,4518.44848058888,1131.31578192974,13410.4450438918,5795.71482310428,63.1,,124367.293377565,,11.0000000000001
13,60883.2818037449,9329.11906854335,21479.4686174198,2745.8186281144,5073.68113022811,4518.44848058888,1131.31578192974,13410.4450438918,5795.71482310428,63.2,,124367.293377565,,12.0000000000002
14,60883.2818037449,9329.11906854335,21479.4686174198,2745.8186281144,5073.68113022811,4518.44848058888,1131.31578192974,13410.4450438918,5795.71482310428,63.3,,124367.293377565,,13.0000000000002
15,60883.2818037449,9329.11906854335,21479.4686174198,2745.8186281144,5073.68113022811,4518.44848058888,1131.31578192974,13410.4450438918,5795.71482310428,63.4,,124367.293377565,,14.0000000000002
16,60883.2818037449,9329.11906854335,21479.4686174198,2745.8186281144,5073.68113022811,4518.44848058888,1131.31578192974,13410.4450438918,5795.71482310428,63.5,,124367.293377565,,15.0000000000002
17,60883.2818037449,9329.11906854335,21479.4686174198,2745.8186281144,5073.68113022811,4518.44848058888,1131.31578192974,13410.4450438918,5795.71482310428,63.6,,124367.293377565,,16.0000000000002
18,60883.2818037449,9329.11906854335,21479.4686174198,2745.8186281144,5073.68113022811,4518.44848058888,1131.31578192974,13410.4450438918,5795.71482310428,63.7,,124367.293377565,,17.0000000000002
19,60883.2818037449,9329.11906854335,21479.4686174198,2745.8186281144,5073.68113022811,4518.44848058888,1131.31578192974,13410.4450438918,5795.71482310428,63.8,,124367.293377565,,18.0000000000002
20,60883.2818037449,9329.11906854335,21479.4686174198,2745.8186281144,5073.68113022811,4518.44848058888,1131.31578192974,13410.4450438918,5795.71482310428,63.9,,124367.293377565,,19.0000000000002
21,60883.2818037449,9329.11906854335,21479.4686174198,2745.8186281144,5073.68113022811,4518.44848058888,1131.31578192974,13410.4450438918,5795.71482310428,64,,124367.293377565,,20.0000000000002
22,60883.2818037449,9329.11906854335,21479.4686174198,2745.8186281144,5073.68113022811,4518.44848058888,1131.31578192974,13410.4450438918,5795.71482310428,64.1,,124367.293377565,,21.0000000000002
23,60883.2818037449,9329.11906854335,21479.4686174198,2745.8186281144,5073.68113022811,4518.44848058888,1131.31578192974,13410.4450438918,5795.71482310428,64.2,,124367.293377565,,22.0000000000002
24,60883.2818037449,9329.11906854335,21479.4686174198,2745.8186281144,5073.68113022811,4518.44848058888,1131.31578192974,13410.4450438918,5795.71482310428,64.3,,124367.293377565,,23.0000000000001
25,60883.2818037449,9329.11906854335,21479.4686174198,2745.8186281144,5073.68113022811,4518.44848058888,1131.31578192974,13410.4450438918,5795.71482310428,64.4,,124367.293377565,,24
26,60883.2818037449,9329.11906854335,21479.4686174198,2745.8186281144,5073.68113022811,4518.44848058888,1131.31578192974,13410.4450438918,5795.71482310428,64.5,,124367.293377565,,25
27,60883.2818037449,9329.11906854335,21479.4686174198,2745.8186281144,5073.68113022811,4518.44848058888,1131.31578192974,13410.4450438918,5795.71482310428,64.6,,124367.293377565,,26
28,60883.2818037449,9329.11906854335,21479.4686174198,2745.8186281144,5073.68113022811,4518.44848058888,1131.31578192974,13410.4450438918,5795.71482310428,64.7,,124367.293377565,,26.9999999999999
