,AlfalfaHaylage232,AlfalfaHay232,CornSilage232,GrassHay232,GrassHaylage232,GrassHay234,AlfalfaHaylage235,GrassHay235,GrassHaylage235,GrassHay233,POP PRICE,POPLAR0,TOTALAC,POPSHARE,POPPROF
1,330.37057153784,76.5059573949885,676.050863406825,3369.64244925582,3012.57437137392,811.020644807758,186.651117294744,1563.29432718589,623.549533697913,564.753128078982,62,,11214.4129640347,,
2,330.37057153784,76.5059573949885,676.050863406825,3369.64244925582,3012.57437137392,811.020644807758,186.651117294744,1563.29432718589,623.549533697913,564.753128078982,62.1,,11214.4129640347,,1
3,330.37057153784,76.5059573949885,676.050863406825,3369.64244925582,3012.57437137392,811.020644807758,186.651117294744,1563.29432718589,623.549533697913,564.753128078982,62.2,,11214.4129640347,,2
4,330.37057153784,76.5059573949885,676.050863406825,3369.64244925582,3012.57437137392,811.020644807758,186.651117294744,1563.29432718589,623.549533697913,564.753128078982,62.3,,11214.4129640347,,3
5,330.37057153784,76.5059573949885,676.050863406825,3369.64244925582,3012.57437137392,811.020644807758,186.651117294744,1563.29432718589,623.549533697913,564.753128078982,62.4,,11214.4129640347,,4
6,330.37057153784,76.5059573949885,676.050863406825,3369.64244925582,3012.57437137392,811.020644807758,186.651117294744,1563.29432718589,623.549533697913,564.753128078982,62.5,,11214.4129640347,,5.00000000000011
7,330.37057153784,76.5059573949885,676.050863406825,3369.64244925582,3012.57437137392,811.020644807758,186.651117294744,1563.29432718589,623.549533697913,564.753128078982,62.6,,11214.4129640347,,6.00000000000011
8,330.37057153784,76.5059573949885,676.050863406825,3369.64244925582,3012.57437137392,811.020644807758,186.651117294744,1563.29432718589,623.549533697913,564.753128078982,62.7,,11214.4129640347,,7.00000000000011
9,330.37057153784,76.5059573949885,676.050863406825,3369.64244925582,3012.57437137392,811.020644807758,186.651117294744,1563.29432718589,623.549533697913,564.753128078982,62.8,,11214.4129640347,,8.00000000000011
10,330.37057153784,76.5059573949885,676.050863406825,3369.64244925582,3012.57437137392,811.020644807758,186.651117294744,1563.29432718589,623.549533697913,564.753128078982,62.9,,11214.4129640347,,9.00000000000011
